schemaname,tablename,indexname,indexdef
public,prompt_templates,idx_prompt_templates_workspace_id,CREATE INDEX idx_prompt_templates_workspace_id ON public.prompt_templates USING btree (workspace_id)
public,prompt_templates,prompt_templates_pkey,CREATE UNIQUE INDEX prompt_templates_pkey ON public.prompt_templates USING btree (id)
public,proposal_templates,idx_proposal_templates_workspace,CREATE INDEX idx_proposal_templates_workspace ON public.proposal_templates USING btree (workspace_id)
public,proposal_templates,proposal_templates_pkey,CREATE UNIQUE INDEX proposal_templates_pkey ON public.proposal_templates USING btree (id)
public,proposals,idx_proposals_client_id,CREATE INDEX idx_proposals_client_id ON public.proposals USING btree (client_id)
public,proposals,idx_proposals_created_by,CREATE INDEX idx_proposals_created_by ON public.proposals USING btree (created_by)
public,proposals,idx_proposals_project_id,CREATE INDEX idx_proposals_project_id ON public.proposals USING btree (project_id)
public,proposals,idx_proposals_workspace_id,CREATE INDEX idx_proposals_workspace_id ON public.proposals USING btree (workspace_id)
public,proposals,proposals_pkey,CREATE UNIQUE INDEX proposals_pkey ON public.proposals USING btree (id)
public,proposals,proposals_shared_token_hash_unique,CREATE UNIQUE INDEX proposals_shared_token_hash_unique ON public.proposals USING btree (shared_token_hash)
public,questionnaire_responses,idx_questionnaire_responses_client_id,CREATE INDEX idx_questionnaire_responses_client_id ON public.questionnaire_responses USING btree (client_id)
public,questionnaire_responses,idx_questionnaire_responses_project_id,CREATE INDEX idx_questionnaire_responses_project_id ON public.questionnaire_responses USING btree (project_id)
public,questionnaire_responses,idx_questionnaire_responses_questionnaire_id,CREATE INDEX idx_questionnaire_responses_questionnaire_id ON public.questionnaire_responses USING btree (questionnaire_id)
public,questionnaire_responses,idx_questionnaire_responses_workspace_id,CREATE INDEX idx_questionnaire_responses_workspace_id ON public.questionnaire_responses USING btree (workspace_id)
public,questionnaire_responses,questionnaire_responses_pkey,CREATE UNIQUE INDEX questionnaire_responses_pkey ON public.questionnaire_responses USING btree (id)
public,questionnaire_responses,questionnaire_responses_shared_token_hash_unique,CREATE UNIQUE INDEX questionnaire_responses_shared_token_hash_unique ON public.questionnaire_responses USING btree (shared_token_hash)
public,questionnaires,idx_questionnaires_created_by,CREATE INDEX idx_questionnaires_created_by ON public.questionnaires USING btree (created_by)
public,questionnaires,idx_questionnaires_workspace_id,CREATE INDEX idx_questionnaires_workspace_id ON public.questionnaires USING btree (workspace_id)
public,questionnaires,questionnaires_pkey,CREATE UNIQUE INDEX questionnaires_pkey ON public.questionnaires USING btree (id)
public,sessions,idx_sessions_user_id,CREATE INDEX idx_sessions_user_id ON public.sessions USING btree (user_id)
public,sessions,sessions_pkey,CREATE UNIQUE INDEX sessions_pkey ON public.sessions USING btree (id)
public,sessions,sessions_token_unique,CREATE UNIQUE INDEX sessions_token_unique ON public.sessions USING btree (token)
public,support_tickets,idx_support_tickets_assignee_id,CREATE INDEX idx_support_tickets_assignee_id ON public.support_tickets USING btree (assignee_id)
public,support_tickets,idx_support_tickets_client_id,CREATE INDEX idx_support_tickets_client_id ON public.support_tickets USING btree (client_id)
public,support_tickets,idx_support_tickets_created_by,CREATE INDEX idx_support_tickets_created_by ON public.support_tickets USING btree (created_by)
public,support_tickets,idx_support_tickets_project_id,CREATE INDEX idx_support_tickets_project_id ON public.support_tickets USING btree (project_id)
public,support_tickets,idx_support_tickets_status,"CREATE INDEX idx_support_tickets_status ON public.support_tickets USING btree (workspace_id, status)"
public,support_tickets,idx_support_tickets_workspace,CREATE INDEX idx_support_tickets_workspace ON public.support_tickets USING btree (workspace_id)
public,support_tickets,support_tickets_pkey,CREATE UNIQUE INDEX support_tickets_pkey ON public.support_tickets USING btree (id)
public,tasks,idx_tasks_assignee_id,CREATE INDEX idx_tasks_assignee_id ON public.tasks USING btree (assignee_id)
public,tasks,idx_tasks_created_by,CREATE INDEX idx_tasks_created_by ON public.tasks USING btree (created_by)
public,tasks,idx_tasks_project_id,CREATE INDEX idx_tasks_project_id ON public.tasks USING btree (project_id)
public,tasks,idx_tasks_source_note,CREATE INDEX idx_tasks_source_note ON public.tasks USING btree (source_note_id)
public,tasks,idx_tasks_workspace_id,CREATE INDEX idx_tasks_workspace_id ON public.tasks USING btree (workspace_id)
public,tasks,tasks_pkey,CREATE UNIQUE INDEX tasks_pkey ON public.tasks USING btree (id)
public,tasks,tasks_title_trgm,CREATE INDEX tasks_title_trgm ON public.tasks USING gin (title gin_trgm_ops)
public,time_entries,idx_time_entries_client_id,CREATE INDEX idx_time_entries_client_id ON public.time_entries USING btree (client_id)
public,time_entries,idx_time_entries_project_id,CREATE INDEX idx_time_entries_project_id ON public.time_entries USING btree (project_id)
public,time_entries,idx_time_entries_task_id,CREATE INDEX idx_time_entries_task_id ON public.time_entries USING btree (task_id)
public,time_entries,idx_time_entries_user_id,CREATE INDEX idx_time_entries_user_id ON public.time_entries USING btree (user_id)
